ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
642776;2636;BEŽIGRAD;LJUBLJANA;2780;38;;;1;LJUBLJANA;LINHARTOVA CESTA;1;;40;2;1974;1;;;26;1/1;;;;;;;;2 - Stanovanje;nadstropje;;26,4;20,7; bivalni prostor | klet;;
637365;1723;VIČ;LJUBLJANA;5498;3;;;1;LJUBLJANA;NANOŠKA ULICA;21;;17;2;1969;1;;;69;1/1;;;;;;;;2 - Stanovanje;nadstropje;;68,8;68,8; bivalni prostor | odprta terasa, balkon, loža;;
639743;237;GRLAVA;VERŽEJ;514;1;;;1;BANOVCI;BANOVCI;3;G;1;2;2018;1;;1;35,4;1/2;;;;;;;;47 - Stanovanje v dvostanovanjski stavbi;pritličje;;49,7;35,4; bivalni prostor | odprta terasa, balkon, loža;;
632335;1065;VOJNIK TRG;VOJNIK;971;1;;;1;VOJNIK;CESTA V TOMAŽ;6;B;;1;2005;1;;;343;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;342,7;205,9; bivalni prostor | garaža | klet | odprta terasa, balkon, loža | prostor z omejeno uporabo | tehnični prostor;;
641830;1352;LOKVE;KRŠKO;69;1;;;1;LOKVE;LOKVE;14;;;1;1936;1;;;88;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;88,3;72,1; bivalni prostor | prostor z omejeno uporabo;;
632681;482;MALI OKIČ;CIRKULANE;26;1;;;1;MALI OKIČ;MALI OKIČ;25;;;1;1880;1;;;30;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;29,5;25,5; bivalni prostor | zaprta terasa, balkon, loža;;
638131;2626;IZOLA;IZOLA;3101;7;;;1;IZOLA;ZELENA ULICA;4;;7;2;1990;1;;;107;1/1;;;;;;;;2 - Stanovanje;nadstropje;;107,4;86,1; bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža;;
633157;2626;IZOLA;IZOLA;5810;2;;;1;;;;;;14;1966;1;;;5;1/1;;;;;;;;35 - Terasa, balkon, loža;nadstropje;;5,3;5,3; odprta terasa, balkon, loža;;
633346;1772;SLAPE;LJUBLJANA;1975;1;;;1;LJUBLJANA;V TOPLICE;5;;1;2;1984;1;;;85;1/1;;;;;;;;47 - Stanovanje v dvostanovanjski stavbi;pritličje;;85,1;80,9; bivalni prostor;;
637088;692;SPODNJI DUPLEK;DUPLEK;1134;1;;;1;SPODNJI DUPLEK;KORENSKA CESTA;45;;;1;2002;1;;;280;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;280,3;164,2; bivalni prostor | garaža | klet | shramba, sušilnica, pralnica;;
635275;184;GORNJA RADGONA;GORNJA RADGONA;1402;1;;;1;GORNJA RADGONA;JURKOVIČEVA ULICA;23;;;9;1840;1;;;480;1/1;;;;;;;;39 - Ruševina;pritličje;;480;0; ruševina;;
634157;660;STUDENCI;MARIBOR;4527;20;;;1;MARIBOR;RUŠKA CESTA;57;;20;2;2008;1;;;69;1/1;;;;;;;;2 - Stanovanje;nadstropje;;68,5;61,9; bivalni prostor | odprta terasa, balkon, loža;;
637606;2425;GORJANSKO;KOMEN;76;1;;;1;GORJANSKO;GORJANSKO;71;A;;2;1968;1;;;45;1/1;;;;;;;;1 - Stanovanje v enostanovanjski stavbi;pritličje;;44,8;44,8; bivalni prostor;;
640345;766;CIGONCA;SLOVENSKA BISTRICA;336;1;;;1;;;;;;13;1973;1;;;119;1/6;;;;;;;;29 - Del stavbe za spravilo pridelka;klet;;119,2;119,2; kmetijski prostor;;
638014;1731;UDMAT;LJUBLJANA;1314;1;;;1;LJUBLJANA;PUGLJEVA ULICA;25;;;2;1939;1;;;229;1/1;;;;;;;;2 - Stanovanje;pritličje;;228,7;144,7; bivalni prostor | garažni parkirni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
642836;199;ŠRATOVCI;RADENCI;164;3;;;1;RADENCI;KIDRIČEVO NASELJE;1;;3;2;1962;1;;;75;1/1;;;;;;;;2 - Stanovanje;nadstropje;;74,8;66,7; bivalni prostor | klet | odprta terasa, balkon, loža;;
639377;105;MURSKA SOBOTA;;1702;1;;;1;;;;;;15;1970;1;;;223;1176/63749;;;;;;;;37 - Skupni komunikacijski prostor;;;223,2;0; skupni komunikacijski prostor;;
632425;1467;DRUŽINSKA VAS;ŠMARJEŠKE TOPLICE;280;1;;;1;;;;;;13;1880;1;;;110;1/1;;;;;;;;28 - Pomožni kmetijski del stavbe;pritličje;;110;110; kmetijski prostor;;
640627;804;RADLJE OB DRAVI;RADLJE OB DRAVI;1805;3;;;1;RADLJE OB DRAVI;TRŽNA ULICA;1;A;3;8;2000;1;;;44;1/1;;;;;;;;10 - Trgovski del stavbe;pritličje;;43,9;43,9; lokal, prodajalna;;
641549;2248;TOLMIN;TOLMIN;747;73;;;1;TOLMIN;GREGORČIČEVA ULICA;18;A;;14;1986;1;;;266;1/1;;;;;;;;37 - Skupni komunikacijski prostor;;;265,7;0; skupni komunikacijski prostor;;
637599;2631;PORTOROŽ;;3643;52;;;1;;;;;112;4;1974;1;;;13;1/1;;;;;;;;15 - Garaža;drugo;;12,8;12,8; garaža;;
